controller,value,date,time
BLOWER,0,2020-10-28,03:14:01
BLOWER,1,2020-10-28,03:14:31
BLOWER,0,2020-10-28,03:18:01
BLOWER,1,2020-10-28,03:18:31
BLOWER,1,2020-10-28,03:18:31
BLOWER,1,2020-10-28,03:18:31
BLOWER,0,2020-10-28,09:18:31
BLOWER,1,2020-10-28,09:43:01
BLOWER,0,2020-10-28,09:56:31
BLOWER,1,2020-10-28,09:57:01
BLOWER,0,2020-10-28,09:58:01
BLOWER,1,2020-10-29,08:28:31
BLOWER,0,2020-10-29,08:31:01
BLOWER,1,2020-10-29,08:35:31
BLOWER,0,2020-10-29,08:36:31
BLOWER,1,2020-10-29,08:37:01
BLOWER,0,2020-10-29,08:39:01
BLOWER,1,2020-10-29,08:39:31
BLOWER,0,2020-10-29,08:43:01
BLOWER,1,2020-10-29,08:47:01
BLOWER,0,2020-10-29,08:49:01
BLOWER,1,2020-10-29,08:49:31
BLOWER,0,2020-10-29,08:50:01
BLOWER,1,2020-10-29,08:53:01
BLOWER,0,2020-10-29,09:20:01
BLOWER,1,2020-10-29,09:20:31
BLOWER,0,2020-10-29,09:32:01
BLOWER,1,2020-10-29,09:36:31
BLOWER,0,2020-10-29,09:39:01
BLOWER,1,2020-10-29,09:39:31
BLOWER,0,2020-10-29,09:44:01
BLOWER,1,2020-10-29,10:19:31
BLOWER,1,2020-10-29,10:19:31
BLOWER,1,2020-10-29,10:19:31
BLOWER,1,2020-10-29,10:19:31
BLOWER,1,2020-10-29,10:19:31
BLOWER,0,2020-10-29,12:03:01
BLOWER,1,2020-10-29,12:05:31
BLOWER,1,2020-10-29,12:05:31
BLOWER,1,2020-10-29,12:05:31
BLOWER,0,2020-10-29,12:21:01
BLOWER,1,2020-10-29,12:27:31
BLOWER,1,2020-10-29,12:27:31
BLOWER,1,2020-10-29,12:27:31
BLOWER,1,2020-10-29,12:27:31
BLOWER,1,2020-10-29,12:27:31
BLOWER,0,2020-10-29,12:50:31
BLOWER,1,2020-10-29,12:55:31
BLOWER,0,2020-10-29,13:01:01
BLOWER,1,2020-10-29,13:01:31
BLOWER,0,2020-10-29,13:03:31
BLOWER,1,2020-10-29,13:04:01
BLOWER,1,2020-10-29,13:04:01
BLOWER,1,2020-10-29,13:04:01
BLOWER,0,2020-10-29,13:23:31
BLOWER,1,2020-10-29,13:26:31
BLOWER,0,2020-10-29,15:21:31
BLOWER,1,2020-10-30,08:51:01
BLOWER,0,2020-10-30,08:53:01
BLOWER,1,2020-10-30,08:58:01
BLOWER,0,2020-10-30,09:01:01
BLOWER,1,2020-10-30,09:06:31
BLOWER,1,2020-10-30,09:06:31
BLOWER,1,2020-10-30,09:06:31
BLOWER,0,2020-10-30,10:55:01
BLOWER,1,2020-10-30,10:56:01
BLOWER,0,2020-10-30,11:01:31
BLOWER,1,2020-10-30,11:02:01
BLOWER,0,2020-10-30,11:21:01
BLOWER,1,2020-10-30,11:26:31
BLOWER,1,2020-10-30,11:26:31
BLOWER,1,2020-10-30,11:26:31
BLOWER,0,2020-10-30,11:36:31
BLOWER,1,2020-10-30,11:42:01
BLOWER,1,2020-10-30,11:42:01
BLOWER,1,2020-10-30,11:42:01
BLOWER,1,2020-10-30,11:42:01
BLOWER,1,2020-10-30,11:42:01
BLOWER,1,2020-10-30,11:42:01
BLOWER,1,2020-10-30,11:42:01
BLOWER,1,2020-10-30,11:42:01
BLOWER,1,2020-10-30,11:42:01
BLOWER,0,2020-10-30,13:32:31
BLOWER,1,2020-10-30,13:39:31
BLOWER,0,2020-10-30,13:58:31
BLOWER,1,2020-10-30,14:05:31
BLOWER,0,2020-10-30,14:21:01
BLOWER,1,2020-10-30,14:34:01
BLOWER,0,2020-10-30,15:06:01
BLOWER,1,2020-10-30,15:10:31
BLOWER,0,2020-10-30,15:35:31
BLOWER,1,2020-10-30,15:36:01
BLOWER,0,2020-10-30,15:41:01
BLOWER,1,2020-10-31,08:45:31
BLOWER,0,2020-10-31,08:53:31
BLOWER,1,2020-10-31,09:00:31
BLOWER,0,2020-10-31,09:04:01
BLOWER,1,2020-10-31,09:07:01
BLOWER,0,2020-10-31,09:13:01
BLOWER,1,2020-10-31,09:13:31
BLOWER,0,2020-10-31,09:41:02
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
BLOWER,1,2020-10-31,09:53:31
